name,description,base_price,category_id,exclusions
Tuna Salad Sandwich,"Tuna salad, lettuce, tomato, and mayo on your choice of bread.",6.99,10,"Tuna Salad, Lettuce, Tomato, Mayo"
Reuben Sandwich,"Grilled shaved corned beef, swiss cheese, and sauerkraut on rye.",6.99,10,"Corned Beef, Swiss Cheese, Sauerkraut"
BBQ Chicken Sandwich,Barbecue chicken and cole slaw on a sesame bun.,6.99,10,"Chicken, Cole Slaw"
Grilled Cheese Sandwich,Sliced american cheese grilled on your choice of bread.,4.99,10,
Grilled Ham & Cheese Sandwich,Sliced american cheese and ham grilled on your choice of bread.,5.99,10,
Combo Club,"Roast beef, turkey, ham, bacon, american cheese, lettuce, tomato, and mayo on your choice of bread.",8.49,11,"Roast Beef, Turkey, Ham, Bacon, American Cheese, Lettuce, Tomato, Mayo"
Ham & Turkey Club,"Turkey, ham, bacon, american cheese, lettuce, tomato, and mayo on your choice of bread.",7.99,11,"Turkey, Ham, Bacon, American Cheese, Lettuce, Tomato, Mayo"
Gyro,"Beef, lamb, lettuce, tomato, onion, and cucumber sauce wrapped in pita bread.",7.99,11,"Meat, Lettuce, Tomato, Onion, Cucumber Sauce"
Fried Chicken Burger,"Fried chicken patty, american cheese, lettuce, tomato, onion, and mayo on a sesame bun.",6.99,12,"American Cheese, Lettuce, Tomato, Onion, Mayo"
Classic Cheeseburger,"Ground beef patty, american cheese, lettuce, tomato, onion, pickle, ketchup, mustard, and mayo on a sesame bun.",6.99,12,"Beef Patty, American Cheese, Lettuce, Tomato, Onion, Pickle, Ketchup, Mustard, Mayo"
Bacon Cheeseburger,"Ground beef patty, bacon, american cheese, lettuce, tomato, onion, pickle, ketchup, mustard, and mayo on a sesame bun.",7.99,12,"Beef Patty, Bacon, American Cheese, Lettuce, Tomato, Onion, Pickle, Ketchup, Mustard, Mayo"
Korean Beef Bulgogi Stir Fry,Grilled marinated korean beef bulgogi in soy sauce with sautéed onions served with a side of steamed rice and salad.,10.99,13,"Beef Bulgogi, Onions, Rice, Salad"
Teriyaki Stir Fry,"Grilled teriyaki chicken with sautéed onions, carrot, and green bell pepper served with a side of steamed rice and salad.",10.99,13,"Chicken, Onions, Carrot, Green Bell Pepper, Rice, Salad"
Spicy Chicken Stir Fry,"Grilled spicy chicken with sautéed onions, carrot, and green bell pepper served with a side of steamed rice and salad.",10.99,13,"Chicken, Onions, Carrot, Green Bell Pepper, Rice, Salad"
Chicken Taco Rice Bowl,"Grilled chicken, shredded lettuce, tomato, black beans, salsa, pico de gallo, sour cream, and cheddar cheese over white rice.",9.99,13,"Chicken, Lettuce, Tomato, Black Beans, Salsa, Pico de Gallo, Sour Cream, Cheddar Cheese, Rice"
Korean Beef Bulgogi Taco Rice Bowl,"Korean Beef bulgogi, sautéed onions, shredded lettuce, tomato, black beans, and cheddar cheese over white rice and topped with an over easy egg.",9.99,13,"Beef Bulgogi, Onions, Lettuce, Tomato, Black Beans, Cheddar Cheese, Rice, Egg"
Korean Bibimbap Bowl,"Korean Beef bulgogi, sautéed squash, carrot, bean sprouts, cucumber, and shredded lettuce over white rice and topped with an over easy egg.",9.99,13,"Beef Bulgogi, Squash, Carrot, Bean Sprouts, Cucumber, Lettuce, Rice, Egg"
Chicken Curry,"Chicken curry with onion, carrot, green bell pepper, and potato, served over white rice.",10.99,13,
French Fries,,2.99,14,
Coleslaw,,2.29,14,
Potato Salad,,2.99,14,
Onion Rings,,3.99,14,
Chicken Nuggets,,3.99,14,
Chicken Noodle Soup,,2.99,14,
